Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
24,Female,26,0,0,1,1,Yes,No,4.148,n/a
24,Female,26,0,0,2,1,Yes,No,8.46,n/a
24,Female,26,0,0,3,3,n/a,Yes,13.023,n/a
24,Female,26,0,0,4,1,Yes,No,17.034,n/a
24,Female,26,0,0,4,1,No,No,17.218,n/a
24,Female,26,0,0,5,1,Yes,No,21.136,n/a
24,Female,26,0,0,6,1,Yes,No,25.511,n/a
24,Female,26,0,0,7,3,n/a,Yes,29.938,n/a
24,Female,26,0,0,8,1,Yes,No,33.816,n/a
24,Female,26,0,0,9,1,Yes,No,37.86,n/a
24,Female,26,0,0,10,1,Yes,No,42.183,n/a
24,Female,26,0,n/a,n/a,n/a,n/a,n/a,47.425,End!
24,Female,26,1,3,1,1,Yes,No,4.184,n/a
24,Female,26,1,3,2,1,Yes,No,8.441,n/a
24,Female,26,1,3,3,3,No,No,12.938,n/a
24,Female,26,1,3,3,3,n/a,Yes,13.057,n/a
24,Female,26,1,3,4,1,Yes,No,17.12,n/a
24,Female,26,1,3,4,1,No,No,17.323,n/a
24,Female,26,1,3,5,1,Yes,No,21.228,n/a
24,Female,26,1,3,5,1,No,No,21.442,n/a
24,Female,26,1,3,6,2,n/a,Yes,25.718,n/a
24,Female,26,1,3,7,1,Yes,No,29.543,n/a
24,Female,26,1,3,8,2,n/a,Yes,34.13,n/a
24,Female,26,1,3,9,3,n/a,Yes,38.35,n/a
24,Female,26,1,3,10,1,Yes,No,42.273,n/a
24,Female,26,1,3,10,1,No,No,42.484,n/a
24,Female,26,1,3,11,1,Yes,No,46.395,n/a
24,Female,26,1,3,12,3,n/a,Yes,51.023,n/a
24,Female,26,1,3,13,2,n/a,Yes,55.23,n/a
24,Female,26,1,3,14,2,n/a,Yes,59.46,n/a
24,Female,26,1,3,15,1,Yes,No,63.331,n/a
24,Female,26,1,3,16,1,Yes,No,67.632,n/a
24,Female,26,1,3,17,2,No,No,72.027,n/a
24,Female,26,1,3,17,2,n/a,Yes,72.108,n/a
24,Female,26,1,3,18,1,Yes,No,76.003,n/a
24,Female,26,1,3,19,3,n/a,Yes,80.602,n/a
24,Female,26,1,3,20,3,No,No,84.779,n/a
24,Female,26,1,3,20,3,n/a,Yes,84.846,n/a
24,Female,26,1,n/a,n/a,n/a,n/a,n/a,89.668,End!
24,Female,26,2,4,1,1,Yes,No,4.226,n/a
24,Female,26,2,4,2,1,Yes,No,8.543,n/a
24,Female,26,2,4,3,2,Yes,No,14.06,n/a
24,Female,26,2,4,4,1,Yes,No,18.374,n/a
24,Female,26,2,4,5,1,Yes,No,22.543,n/a
24,Female,26,2,4,6,2,Yes,No,28.258,n/a
24,Female,26,2,4,7,2,Yes,No,34.028,n/a
24,Female,26,2,4,8,1,Yes,No,38.348,n/a
24,Female,26,2,4,9,3,n/a,Yes,42.891,n/a
24,Female,26,2,4,10,2,Yes,No,48.245,n/a
24,Female,26,2,4,11,1,Yes,No,52.691,n/a
24,Female,26,2,4,11,1,No,No,52.893,n/a
24,Female,26,2,4,12,1,Yes,No,56.985,n/a
24,Female,26,2,4,12,1,No,No,57.203,n/a
24,Female,26,2,4,13,3,n/a,Yes,61.367,n/a
24,Female,26,2,4,14,3,No,No,65.497,n/a
24,Female,26,2,4,14,3,n/a,Yes,65.597,n/a
24,Female,26,2,4,15,1,Yes,No,69.596,n/a
24,Female,26,2,4,16,3,No,No,73.975,n/a
24,Female,26,2,4,16,3,n/a,Yes,74.058,n/a
24,Female,26,2,4,17,1,Yes,No,78.04,n/a
24,Female,26,2,4,18,3,No,No,82.478,n/a
24,Female,26,2,4,18,3,n/a,Yes,82.512,n/a
24,Female,26,2,4,19,1,Yes,No,86.401,n/a
24,Female,26,2,4,19,1,No,No,86.614,n/a
24,Female,26,2,4,20,2,Yes,No,92.059,n/a
24,Female,26,2,n/a,n/a,n/a,n/a,n/a,97.274,End!
24,Female,26,3,5,1,1,Yes,No,4.369,n/a
24,Female,26,3,5,2,2,Yes,No,8.472,n/a
24,Female,26,3,5,3,2,Yes,No,12.129,n/a
24,Female,26,3,5,3,2,No,No,12.326,n/a
24,Female,26,3,5,4,1,Yes,No,15.709,n/a
24,Female,26,3,5,5,1,Yes,No,19.965,n/a
24,Female,26,3,5,6,3,n/a,Yes,24.393,n/a
24,Female,26,3,5,7,2,Yes,No,28.327,n/a
24,Female,26,3,5,8,3,n/a,Yes,32.203,n/a
24,Female,26,3,5,9,1,Yes,No,36.091,n/a
24,Female,26,3,5,10,1,Yes,No,40.404,n/a
24,Female,26,3,5,10,1,No,No,40.602,n/a
24,Female,26,3,5,11,2,Yes,No,44.574,n/a
24,Female,26,3,5,11,2,No,No,44.786,n/a
