Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
23,Female,11,0,0,1,1,Yes,No,4.431,n/a
23,Female,11,0,0,2,1,Yes,No,8.571,n/a
23,Female,11,0,0,3,1,Yes,No,12.776,n/a
23,Female,11,0,0,4,1,Yes,No,17.042,n/a
23,Female,11,0,0,5,1,Yes,No,21.156,n/a
23,Female,11,0,0,6,1,Yes,No,25.231,n/a
23,Female,11,0,0,7,3,n/a,Yes,29.798,n/a
23,Female,11,0,0,8,3,n/a,Yes,34.011,n/a
23,Female,11,0,0,9,1,Yes,No,37.889,n/a
23,Female,11,0,0,10,1,Yes,No,41.918,n/a
23,Female,11,0,n/a,n/a,n/a,n/a,n/a,47.221,End!
23,Female,11,1,1,1,1,Yes,No,4.197,n/a
23,Female,11,1,1,2,2,Yes,No,8.484,n/a
23,Female,11,1,1,3,2,No,No,12.879,n/a
23,Female,11,1,1,3,2,n/a,Yes,12.996,n/a
23,Female,11,1,1,4,1,Yes,No,16.947,n/a
23,Female,11,1,1,5,1,Yes,No,21.14,n/a
23,Female,11,1,1,6,2,Yes,No,25.209,n/a
23,Female,11,1,1,7,3,n/a,Yes,29.905,n/a
23,Female,11,1,1,8,1,Yes,No,33.68,n/a
23,Female,11,1,1,9,1,Yes,No,38.13,n/a
23,Female,11,1,1,10,2,Yes,No,42.28,n/a
23,Female,11,1,1,11,1,Yes,No,46.518,n/a
23,Female,11,1,1,12,1,Yes,No,50.833,n/a
23,Female,11,1,1,12,1,No,No,51.489,n/a
23,Female,11,1,1,13,3,n/a,Yes,55.267,n/a
23,Female,11,1,1,14,3,n/a,Yes,59.51,n/a
23,Female,11,1,1,15,1,Yes,No,63.274,n/a
23,Female,11,1,1,16,3,n/a,Yes,68.036,n/a
23,Female,11,1,1,17,1,Yes,No,71.897,n/a
23,Female,11,1,1,18,3,n/a,Yes,76.545,n/a
23,Female,11,1,1,19,2,Yes,No,80.526,n/a
23,Female,11,1,1,20,1,Yes,No,84.769,n/a
23,Female,11,1,n/a,n/a,n/a,n/a,n/a,89.866,End!
23,Female,11,2,2,2,1,Yes,No,8.482,n/a
23,Female,11,2,2,3,3,n/a,Yes,13.022,n/a
23,Female,11,2,2,5,1,Yes,No,21.106,n/a
23,Female,11,2,2,6,3,n/a,Yes,25.604,n/a
23,Female,11,2,2,7,1,Yes,No,29.534,n/a
23,Female,11,2,2,8,1,Yes,No,33.827,n/a
23,Female,11,2,2,10,1,Yes,No,41.996,n/a
23,Female,11,2,2,12,1,Yes,No,50.398,n/a
23,Female,11,2,2,13,1,Yes,No,54.635,n/a
23,Female,11,2,2,14,3,n/a,Yes,59.232,n/a
23,Female,11,2,2,15,1,Yes,No,63.11,n/a
23,Female,11,2,2,17,3,n/a,Yes,71.897,n/a
23,Female,11,2,2,18,1,Yes,No,75.729,n/a
23,Female,11,2,2,19,3,No,No,80.251,n/a
23,Female,11,2,2,19,3,n/a,Yes,80.316,n/a
23,Female,11,2,2,20,1,Yes,No,84.218,n/a
23,Female,11,2,n/a,n/a,n/a,n/a,n/a,89.316,End!
23,Female,11,3,5,1,1,Yes,No,4.234,n/a
23,Female,11,3,5,2,1,Yes,No,8.332,n/a
