Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
22,Male,18,0,0,1,1,Yes,No,4.356,n/a
22,Male,18,0,0,2,1,Yes,No,8.683,n/a
22,Male,18,0,0,3,1,Yes,No,12.819,n/a
22,Male,18,0,0,4,3,n/a,Yes,17.33,n/a
22,Male,18,0,0,5,1,Yes,No,21.376,n/a
22,Male,18,0,0,6,1,Yes,No,25.604,n/a
22,Male,18,0,0,7,3,n/a,Yes,30.068,n/a
22,Male,18,0,0,8,1,Yes,No,34.131,n/a
22,Male,18,0,0,9,1,Yes,No,38.328,n/a
22,Male,18,0,0,10,1,Yes,No,42.479,n/a
22,Male,18,0,n/a,n/a,n/a,n/a,n/a,47.593,End!
22,Male,18,1,1,1,3,No,No,4.501,n/a
22,Male,18,1,1,1,3,n/a,Yes,4.617,n/a
22,Male,18,1,1,2,1,Yes,No,8.669,n/a
22,Male,18,1,1,3,1,Yes,No,12.899,n/a
22,Male,18,1,1,4,3,n/a,Yes,17.35,n/a
22,Male,18,1,1,5,1,Yes,No,21.456,n/a
22,Male,18,1,1,6,1,Yes,No,25.691,n/a
22,Male,18,1,1,7,3,No,No,29.952,n/a
22,Male,18,1,1,7,3,n/a,Yes,30.054,n/a
22,Male,18,1,1,8,1,Yes,No,34.037,n/a
22,Male,18,1,1,9,2,Yes,No,38.31,n/a
22,Male,18,1,1,10,2,Yes,No,42.567,n/a
22,Male,18,1,1,11,1,Yes,No,46.739,n/a
22,Male,18,1,1,12,2,Yes,No,51.074,n/a
22,Male,18,1,1,13,1,Yes,No,55.167,n/a
22,Male,18,1,1,14,1,Yes,No,59.462,n/a
22,Male,18,1,1,15,2,Yes,No,63.691,n/a
22,Male,18,1,1,16,1,Yes,No,67.921,n/a
22,Male,18,1,1,17,3,n/a,Yes,72.47,n/a
22,Male,18,1,1,18,2,Yes,No,76.502,n/a
22,Male,18,1,1,19,1,Yes,No,80.713,n/a
22,Male,18,1,1,20,3,n/a,Yes,85.192,n/a
22,Male,18,1,n/a,n/a,n/a,n/a,n/a,90.014,End!
22,Male,18,2,5,1,1,Yes,No,4.296,n/a
22,Male,18,2,5,1,1,No,No,4.497,n/a
22,Male,18,2,5,2,2,Yes,No,8.589,n/a
22,Male,18,2,5,3,1,Yes,No,12.26,n/a
22,Male,18,2,5,4,2,Yes,No,16.451,n/a
22,Male,18,2,5,5,1,Yes,No,20.001,n/a
22,Male,18,2,5,6,2,Yes,No,24.133,n/a
22,Male,18,2,5,6,2,No,No,24.316,n/a
22,Male,18,2,5,7,1,Yes,No,27.801,n/a
22,Male,18,2,5,8,1,Yes,No,31.964,n/a
22,Male,18,2,5,9,3,No,No,36.415,n/a
22,Male,18,2,5,9,3,n/a,Yes,36.449,n/a
22,Male,18,2,5,10,1,Yes,No,40.351,n/a
22,Male,18,2,5,11,3,n/a,Yes,44.915,n/a
22,Male,18,2,5,12,1,Yes,No,48.948,n/a
22,Male,18,2,5,13,1,Yes,No,53.258,n/a
22,Male,18,2,5,14,2,Yes,No,57.374,n/a
22,Male,18,2,5,14,2,No,No,57.541,n/a
22,Male,18,2,5,15,3,n/a,Yes,61.184,n/a
22,Male,18,2,5,16,1,Yes,No,65.117,n/a
22,Male,18,2,5,17,3,n/a,Yes,69.662,n/a
22,Male,18,2,5,18,1,Yes,No,73.675,n/a
22,Male,18,2,5,19,3,n/a,Yes,78.124,n/a
22,Male,18,2,5,20,2,Yes,No,82.085,n/a
22,Male,18,2,5,20,2,No,No,82.268,n/a
22,Male,18,2,n/a,n/a,n/a,n/a,n/a,87.18,End!
22,Male,18,3,2,1,1,Yes,No,4.339,n/a
22,Male,18,3,2,1,1,No,No,4.503,n/a
22,Male,18,3,2,3,1,Yes,No,12.745,n/a
22,Male,18,3,2,4,3,No,No,13.821,n/a
22,Male,18,3,2,4,3,n/a,Yes,17.225,n/a
22,Male,18,3,2,5,1,Yes,No,21.227,n/a
22,Male,18,3,2,6,1,Yes,No,25.547,n/a
22,Male,18,3,2,7,3,n/a,Yes,29.931,n/a
22,Male,18,3,2,8,1,Yes,No,33.977,n/a
22,Male,18,3,2,9,1,Yes,No,38.208,n/a
22,Male,18,3,2,10,2,No,No,42.59,n/a
22,Male,18,3,2,11,1,No,No,43.505,n/a
22,Male,18,3,2,11,1,Yes,No,46.616,n/a
22,Male,18,3,2,12,3,No,No,51.05,n/a
22,Male,18,3,2,12,3,n/a,Yes,51.067,n/a
22,Male,18,3,2,13,2,No,No,55.266,n/a
22,Male,18,3,2,14,1,Yes,No,59.273,n/a
22,Male,18,3,2,16,3,n/a,Yes,67.966,n/a
22,Male,18,3,2,17,1,Yes,No,72.025,n/a
22,Male,18,3,2,19,1,Yes,No,80.505,n/a
22,Male,18,3,2,20,3,No,No,84.92,n/a
22,Male,18,3,2,20,3,n/a,Yes,84.92,n/a
22,Male,18,3,2,21,3,No,No,89.379,n/a
22,Male,18,3,2,21,3,No,No,89.579,n/a
22,Male,18,3,n/a,n/a,n/a,n/a,n/a,89.741,End!
22,Male,18,4,3,1,1,Yes,No,4.362,n/a
22,Male,18,4,3,2,1,Yes,No,8.634,n/a
22,Male,18,4,3,3,2,n/a,Yes,13.044,n/a
22,Male,18,4,3,4,1,Yes,No,17.143,n/a
22,Male,18,4,3,5,1,Yes,No,21.368,n/a
22,Male,18,4,3,6,2,No,No,25.681,n/a
22,Male,18,4,3,6,2,n/a,Yes,25.763,n/a
22,Male,18,4,3,7,1,Yes,No,29.777,n/a
22,Male,18,4,3,8,1,Yes,No,33.992,n/a
22,Male,18,4,3,8,1,No,No,34.208,n/a
22,Male,18,4,3,9,2,No,No,38.309,n/a
22,Male,18,4,3,9,2,n/a,Yes,38.424,n/a
22,Male,18,4,3,10,3,n/a,Yes,42.642,n/a
22,Male,18,4,3,11,2,n/a,Yes,46.867,n/a
22,Male,18,4,3,12,3,n/a,Yes,51.106,n/a
22,Male,18,4,3,13,1,Yes,No,55.059,n/a
22,Male,18,4,3,14,3,n/a,Yes,59.572,n/a
22,Male,18,4,3,15,1,Yes,No,63.476,n/a
22,Male,18,4,3,16,3,n/a,Yes,68.022,n/a
22,Male,18,4,3,17,1,Yes,No,72.064,n/a
22,Male,18,4,3,17,1,No,No,72.26,n/a
22,Male,18,4,3,18,1,Yes,No,76.244,n/a
22,Male,18,4,3,19,3,n/a,Yes,80.706,n/a
22,Male,18,4,3,20,2,n/a,Yes,84.917,n/a
22,Male,18,4,3,21,2,No,No,87.887,n/a
22,Male,18,4,3,21,2,No,No,88.346,n/a
22,Male,18,4,3,21,2,No,No,89.143,n/a
22,Male,18,4,n/a,n/a,n/a,n/a,n/a,89.718,End!
22,Male,18,5,4,1,3,n/a,Yes,4.585,n/a
22,Male,18,5,4,2,1,Yes,No,8.633,n/a
22,Male,18,5,4,3,1,Yes,No,12.824,n/a
22,Male,18,5,4,4,3,n/a,Yes,17.26,n/a
22,Male,18,5,4,5,1,Yes,No,21.321,n/a
22,Male,18,5,4,6,1,Yes,No,25.534,n/a
22,Male,18,5,4,7,3,No,No,29.949,n/a
