Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
22,Male,27,0,0,1,1,Yes,No,4.235,n/a
22,Male,27,0,0,2,1,Yes,No,8.51,n/a
22,Male,27,0,0,3,1,Yes,No,12.632,n/a
22,Male,27,0,0,4,1,Yes,No,16.863,n/a
22,Male,27,0,0,5,1,Yes,No,21.182,n/a
22,Male,27,0,0,6,3,n/a,Yes,25.646,n/a
22,Male,27,0,0,7,1,Yes,No,29.53,n/a
22,Male,27,0,0,8,1,Yes,No,33.727,n/a
22,Male,27,0,0,9,3,n/a,Yes,38.274,n/a
22,Male,27,0,0,10,1,Yes,No,42.286,n/a
22,Male,27,0,n/a,n/a,n/a,n/a,n/a,47.291,End!
22,Male,27,1,2,1,3,n/a,Yes,4.582,n/a
22,Male,27,1,2,2,1,Yes,No,8.451,n/a
22,Male,27,1,2,3,1,Yes,No,12.743,n/a
22,Male,27,1,2,4,3,n/a,Yes,17.184,n/a
22,Male,27,1,2,5,1,Yes,No,21.169,n/a
22,Male,27,1,2,6,1,Yes,No,25.314,n/a
22,Male,27,1,2,8,1,Yes,No,33.75,n/a
22,Male,27,1,2,10,1,Yes,No,42.243,n/a
22,Male,27,1,2,11,1,Yes,No,46.462,n/a
22,Male,27,1,2,14,3,n/a,Yes,59.319,n/a
22,Male,27,1,2,15,1,Yes,No,63.233,n/a
22,Male,27,1,2,17,1,Yes,No,71.647,n/a
22,Male,27,1,2,18,3,n/a,Yes,76.198,n/a
22,Male,27,1,2,19,3,n/a,Yes,80.412,n/a
22,Male,27,1,2,20,1,Yes,No,84.346,n/a
22,Male,27,1,n/a,n/a,n/a,n/a,n/a,89.448,End!
22,Male,27,2,4,1,1,Yes,No,4.292,n/a
22,Male,27,2,4,2,2,Yes,No,10.565,n/a
22,Male,27,2,4,3,1,Yes,No,14.81,n/a
22,Male,27,2,4,4,1,Yes,No,18.997,n/a
22,Male,27,2,4,5,2,Yes,No,25.064,n/a
