Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
21,Female,3,0,0,1,1,Yes,No,4.346,n/a
21,Female,3,0,0,2,1,Yes,No,8.538,n/a
21,Female,3,0,0,3,4,n/a,Yes,12.994,n/a
21,Female,3,0,0,4,1,Yes,No,16.932,n/a
21,Female,3,0,0,5,1,Yes,No,21.097,n/a
21,Female,3,0,0,6,1,Yes,No,25.32,n/a
21,Female,3,0,0,7,1,Yes,No,29.511,n/a
21,Female,3,0,0,8,3,n/a,Yes,34.061,n/a
21,Female,3,0,0,9,1,Yes,No,37.95,n/a
21,Female,3,0,0,10,1,Yes,No,42.183,n/a
21,Female,3,0,n/a,n/a,n/a,n/a,n/a,47.273,End!
21,Female,3,1,4,1,1,Yes,No,4.284,n/a
21,Female,3,1,4,2,2,Yes,No,10.144,n/a
21,Female,3,1,4,3,1,Yes,No,14.477,n/a
21,Female,3,1,4,4,1,Yes,No,18.636,n/a
21,Female,3,1,4,5,2,Yes,No,24.333,n/a
21,Female,3,1,4,6,1,Yes,No,28.601,n/a
21,Female,3,1,4,7,3,n/a,Yes,33.091,n/a
21,Female,3,1,4,8,1,Yes,No,36.984,n/a
21,Female,3,1,4,9,1,Yes,No,41.113,n/a
21,Female,3,1,4,10,3,n/a,Yes,45.727,n/a
21,Female,3,1,4,11,1,Yes,No,49.673,n/a
21,Female,3,1,4,12,1,Yes,No,53.867,n/a
21,Female,3,1,4,13,2,Yes,No,59.404,n/a
21,Female,3,1,4,14,3,n/a,Yes,64.021,n/a
21,Female,3,1,4,15,2,Yes,No,69.387,n/a
21,Female,3,1,4,16,1,Yes,No,73.679,n/a
21,Female,3,1,4,17,3,n/a,Yes,78.173,n/a
21,Female,3,1,4,18,2,Yes,No,83.504,n/a
21,Female,3,1,4,19,1,Yes,No,87.799,n/a
21,Female,3,1,4,20,3,n/a,Yes,92.28,n/a
21,Female,3,1,n/a,n/a,n/a,n/a,n/a,97.102,End!
21,Female,3,2,3,1,2,n/a,Yes,4.568,n/a
21,Female,3,2,3,2,1,Yes,No,8.32,n/a
21,Female,3,2,3,3,2,n/a,Yes,12.96,n/a
21,Female,3,2,3,4,1,Yes,No,16.833,n/a
21,Female,3,2,3,5,3,n/a,Yes,21.366,n/a
21,Female,3,2,3,6,2,n/a,Yes,25.553,n/a
21,Female,3,2,3,7,1,Yes,No,29.407,n/a
21,Female,3,2,3,8,1,Yes,No,33.623,n/a
21,Female,3,2,3,9,3,n/a,Yes,38.183,n/a
21,Female,3,2,3,10,1,Yes,No,42.075,n/a
21,Female,3,2,3,11,2,n/a,Yes,46.579,n/a
21,Female,3,2,3,12,1,Yes,No,50.385,n/a
21,Female,3,2,3,13,1,Yes,No,54.592,n/a
21,Female,3,2,3,14,3,n/a,Yes,59.181,n/a
21,Female,3,2,3,15,1,Yes,No,63.098,n/a
21,Female,3,2,3,16,3,n/a,Yes,67.55,n/a
21,Female,3,2,3,17,2,n/a,Yes,71.749,n/a
21,Female,3,2,3,18,1,Yes,No,75.541,n/a
21,Female,3,2,3,19,3,n/a,Yes,80.159,n/a
21,Female,3,2,3,20,1,Yes,No,84.046,n/a
21,Female,3,2,n/a,n/a,n/a,n/a,n/a,89.162,End!
21,Female,3,3,2,1,1,Yes,No,4.221,n/a
21,Female,3,3,2,2,3,n/a,Yes,8.783,n/a
21,Female,3,3,2,3,2,No,No,12.933,n/a
21,Female,3,3,2,4,1,Yes,No,16.855,n/a
21,Female,3,3,2,5,1,Yes,No,21.049,n/a
21,Female,3,3,2,6,2,No,No,25,n/a
21,Female,3,3,2,7,1,Yes,No,29.463,n/a
21,Female,3,3,2,8,2,No,No,33,n/a
21,Female,3,3,2,9,1,Yes,No,37.857,n/a
21,Female,3,3,2,10,3,n/a,Yes,42.41,n/a
21,Female,3,3,2,11,1,Yes,No,46.274,n/a
21,Female,3,3,2,12,3,n/a,Yes,50.785,n/a
21,Female,3,3,2,13,1,Yes,No,54.6,n/a
21,Female,3,3,2,14,2,No,No,58,n/a
21,Female,3,3,2,15,1,Yes,No,62.991,n/a
21,Female,3,3,2,16,3,n/a,Yes,67.595,n/a
21,Female,3,3,2,17,3,n/a,Yes,71.789,n/a
21,Female,3,3,2,18,2,No,No,75,n/a
21,Female,3,3,2,19,1,Yes,No,79.918,n/a
21,Female,3,3,2,20,1,Yes,No,84.142,n/a
21,Female,3,3,n/a,n/a,n/a,n/a,n/a,89.181,End!
21,Female,3,4,5,1,1,Yes,No,4.298,n/a
21,Female,3,4,5,2,2,Yes,No,8.447,n/a
21,Female,3,4,5,3,3,n/a,Yes,12.346,n/a
21,Female,3,4,5,4,2,Yes,No,16.264,n/a
21,Female,3,4,5,5,1,Yes,No,19.882,n/a
21,Female,3,4,5,6,2,Yes,No,23.978,n/a
21,Female,3,4,5,7,3,n/a,Yes,27.812,n/a
21,Female,3,4,5,8,1,Yes,No,31.649,n/a
21,Female,3,4,5,9,1,Yes,No,35.908,n/a
21,Female,3,4,5,10,3,n/a,Yes,40.411,n/a
21,Female,3,4,5,11,1,Yes,No,44.261,n/a
21,Female,3,4,5,12,1,Yes,No,48.379,n/a
21,Female,3,4,5,13,2,Yes,No,52.649,n/a
21,Female,3,4,5,14,1,Yes,No,56.261,n/a
21,Female,3,4,5,15,1,Yes,No,60.481,n/a
21,Female,3,4,5,16,2,Yes,No,64.641,n/a
21,Female,3,4,5,17,1,Yes,No,68.332,n/a
21,Female,3,4,5,18,3,n/a,Yes,72.791,n/a
21,Female,3,4,5,19,1,Yes,No,76.617,n/a
21,Female,3,4,5,20,3,n/a,Yes,81.189,n/a
21,Female,3,4,n/a,n/a,n/a,n/a,n/a,85.991,End!
21,Female,3,5,1,1,3,n/a,Yes,4.584,n/a
21,Female,3,5,1,2,2,Yes,No,8.449,n/a
21,Female,3,5,1,3,1,Yes,No,12.635,n/a
21,Female,3,5,1,4,1,Yes,No,16.823,n/a
21,Female,3,5,1,5,3,n/a,Yes,21.403,n/a
21,Female,3,5,1,6,3,n/a,Yes,25.62,n/a
21,Female,3,5,1,7,2,Yes,No,29.468,n/a
21,Female,3,5,1,8,1,Yes,No,33.778,n/a
21,Female,3,5,1,9,1,Yes,No,37.885,n/a
21,Female,3,5,1,10,2,Yes,No,42.136,n/a
21,Female,3,5,1,11,1,Yes,No,46.326,n/a
21,Female,3,5,1,12,1,Yes,No,50.59,n/a
21,Female,3,5,1,13,2,Yes,No,54.74,n/a
21,Female,3,5,1,14,1,Yes,No,58.899,n/a
21,Female,3,5,1,15,1,Yes,No,63.132,n/a
21,Female,3,5,1,16,3,n/a,Yes,67.677,n/a
21,Female,3,5,1,17,1,Yes,No,71.47,n/a
21,Female,3,5,1,18,3,n/a,Yes,76.089,n/a
21,Female,3,5,1,19,1,Yes,No,79.961,n/a
21,Female,3,5,1,20,2,Yes,No,84.211,n/a
21,Female,3,5,n/a,n/a,n/a,n/a,n/a,89.29,End!
