Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
23,Male,29,0,0,1,1,Yes,No,4.15,n/a
23,Male,29,0,0,2,1,Yes,No,8.377,n/a
23,Male,29,0,0,3,3,No,No,12.886,n/a
23,Male,29,0,0,3,3,n/a,Yes,13.001,n/a
23,Male,29,0,0,4,1,No,No,15.787,n/a
23,Male,29,0,0,4,1,No,No,16.583,n/a
23,Male,29,0,0,4,1,Yes,No,16.834,n/a
23,Male,29,0,0,5,1,Yes,No,21.282,n/a
23,Male,29,0,0,6,1,Yes,No,25.397,n/a
23,Male,29,0,0,7,1,Yes,No,29.578,n/a
23,Male,29,0,0,8,1,Yes,No,33.696,n/a
23,Male,29,0,0,9,1,Yes,No,38.018,n/a
23,Male,29,0,0,10,3,n/a,Yes,42.52,n/a
23,Male,29,0,n/a,n/a,n/a,n/a,n/a,47.341,End!
23,Male,29,1,3,1,1,Yes,No,4.353,n/a
23,Male,29,1,3,2,1,Yes,No,8.636,n/a
23,Male,29,1,3,3,2,n/a,Yes,13.037,n/a
23,Male,29,1,3,4,1,Yes,No,17.013,n/a
23,Male,29,1,3,5,2,n/a,Yes,21.475,n/a
23,Male,29,1,3,6,3,n/a,Yes,25.7,n/a
23,Male,29,1,3,7,1,Yes,No,29.648,n/a
23,Male,29,1,3,8,1,Yes,No,33.88,n/a
23,Male,29,1,3,9,3,n/a,Yes,38.355,n/a
23,Male,29,1,3,10,2,n/a,Yes,42.574,n/a
23,Male,29,1,3,11,3,n/a,Yes,46.787,n/a
23,Male,29,1,3,12,1,Yes,No,50.776,n/a
23,Male,29,1,3,13,2,n/a,Yes,55.241,n/a
23,Male,29,1,3,14,1,Yes,No,59.18,n/a
23,Male,29,1,3,15,1,Yes,No,63.394,n/a
23,Male,29,1,3,16,3,n/a,Yes,67.908,n/a
23,Male,29,1,3,17,1,Yes,No,71.886,n/a
23,Male,29,1,3,18,3,n/a,Yes,76.367,n/a
23,Male,29,1,3,19,2,n/a,Yes,80.599,n/a
23,Male,29,1,3,20,1,Yes,No,84.511,n/a
23,Male,29,1,3,21,1,No,No,89.406,n/a
23,Male,29,1,n/a,n/a,n/a,n/a,n/a,89.618,End!
23,Male,29,2,5,1,1,Yes,No,4.367,n/a
23,Male,29,2,5,2,2,Yes,No,8.551,n/a
23,Male,29,2,5,3,1,Yes,No,12.136,n/a
23,Male,29,2,5,4,3,n/a,Yes,16.584,n/a
23,Male,29,2,5,5,2,Yes,No,20.56,n/a
23,Male,29,2,5,6,1,Yes,No,24.141,n/a
23,Male,29,2,5,7,2,Yes,No,28.256,n/a
23,Male,29,2,5,8,1,Yes,No,31.927,n/a
23,Male,29,2,5,9,1,Yes,No,36.042,n/a
23,Male,29,2,5,10,2,Yes,No,40.34,n/a
23,Male,29,2,5,11,3,n/a,Yes,44.155,n/a
23,Male,29,2,5,12,1,Yes,No,48.052,n/a
23,Male,29,2,5,13,1,Yes,No,52.361,n/a
23,Male,29,2,5,14,3,n/a,Yes,56.865,n/a
23,Male,29,2,5,15,1,Yes,No,60.789,n/a
23,Male,29,2,5,16,1,Yes,No,65.046,n/a
23,Male,29,2,5,17,2,Yes,No,69.28,n/a
23,Male,29,2,5,18,3,n/a,Yes,73.121,n/a
23,Male,29,2,5,19,1,Yes,No,77.063,n/a
23,Male,29,2,5,20,3,n/a,Yes,81.544,n/a
23,Male,29,2,5,21,3,No,No,83.617,n/a
23,Male,29,2,5,21,3,No,No,85.03,n/a
23,Male,29,2,5,21,3,No,No,85.244,n/a
23,Male,29,2,5,21,3,No,No,85.493,n/a
23,Male,29,2,n/a,n/a,n/a,n/a,n/a,86.37,End!
23,Male,29,3,4,1,1,Yes,No,4.36,n/a
23,Male,29,3,4,2,1,Yes,No,8.546,n/a
23,Male,29,3,4,3,2,Yes,No,14.131,n/a
23,Male,29,3,4,4,1,Yes,No,18.438,n/a
23,Male,29,3,4,5,3,n/a,Yes,22.991,n/a
23,Male,29,3,4,6,2,Yes,No,28.339,n/a
23,Male,29,3,4,7,1,Yes,No,32.704,n/a
23,Male,29,3,4,8,1,Yes,No,36.97,n/a
23,Male,29,3,4,9,3,n/a,Yes,41.454,n/a
23,Male,29,3,4,10,2,Yes,No,46.778,n/a
