Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
35,Male,15,0,0,1,1,Yes,No,4.322,n/a
35,Male,15,0,0,1,1,No,No,4.906,n/a
35,Male,15,0,0,2,1,Yes,No,8.562,n/a
35,Male,15,0,0,3,3,n/a,Yes,13.047,n/a
35,Male,15,0,0,4,1,Yes,No,17.031,n/a
35,Male,15,0,0,5,1,Yes,No,21.089,n/a
35,Male,15,0,0,6,1,Yes,No,25.459,n/a
35,Male,15,0,0,7,3,n/a,Yes,29.957,n/a
35,Male,15,0,0,8,1,Yes,No,33.812,n/a
35,Male,15,0,0,9,1,Yes,No,38.082,n/a
35,Male,15,0,0,10,1,Yes,No,42.318,n/a
35,Male,15,0,0,11,1,No,No,46.61,n/a
35,Male,15,0,n/a,n/a,n/a,n/a,n/a,47.46,End!
35,Male,15,1,5,1,2,Yes,No,4.278,n/a
35,Male,15,1,5,2,3,n/a,Yes,8.144,n/a
35,Male,15,1,5,3,3,n/a,Yes,12.38,n/a
35,Male,15,1,5,4,1,Yes,No,16.326,n/a
35,Male,15,1,5,5,1,Yes,No,20.574,n/a
35,Male,15,1,5,6,3,n/a,Yes,25.044,n/a
35,Male,15,1,5,7,1,Yes,No,28.947,n/a
35,Male,15,1,5,8,1,Yes,No,33.229,n/a
35,Male,15,1,5,9,2,Yes,No,37.416,n/a
35,Male,15,1,5,10,1,Yes,No,41.161,n/a
35,Male,15,1,5,11,1,Yes,No,45.144,n/a
35,Male,15,1,5,12,2,Yes,No,49.507,n/a
35,Male,15,1,5,13,2,Yes,No,53.119,n/a
35,Male,15,1,5,13,2,No,No,53.373,n/a
35,Male,15,1,5,14,1,Yes,No,56.701,n/a
35,Male,15,1,5,14,1,No,No,57.034,n/a
35,Male,15,1,5,15,1,Yes,No,60.936,n/a
35,Male,15,1,5,16,3,n/a,Yes,65.393,n/a
35,Male,15,1,5,17,2,Yes,No,69.403,n/a
35,Male,15,1,5,17,2,No,No,69.637,n/a
35,Male,15,1,5,18,1,Yes,No,72.93,n/a
35,Male,15,1,5,18,1,No,No,73.198,n/a
35,Male,15,1,5,19,3,n/a,Yes,77.383,n/a
35,Male,15,1,5,20,1,No,No,78.956,n/a
35,Male,15,1,5,20,1,No,No,79.548,n/a
35,Male,15,1,5,20,1,No,No,79.764,n/a
35,Male,15,1,5,20,1,No,No,79.997,n/a
35,Male,15,1,5,20,1,Yes,No,81.379,n/a
35,Male,15,1,5,21,1,No,No,86.022,n/a
35,Male,15,1,n/a,n/a,n/a,n/a,n/a,86.436,End!
35,Male,15,2,1,1,3,n/a,Yes,4.612,n/a
35,Male,15,2,1,2,1,Yes,No,8.676,n/a
35,Male,15,2,1,3,1,Yes,No,12.76,n/a
35,Male,15,2,1,4,2,Yes,No,17.066,n/a
35,Male,15,2,1,4,2,No,No,17.322,n/a
35,Male,15,2,1,5,2,No,No,21.402,n/a
