Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
56,Male,10,0,0,1,1,Yes,No,4.444,n/a
56,Male,10,0,0,2,1,Yes,No,8.429,n/a
56,Male,10,0,0,3,4,n/a,Yes,13.016,n/a
56,Male,10,0,0,4,1,Yes,No,17.03,n/a
56,Male,10,0,0,5,1,Yes,No,21.214,n/a
56,Male,10,0,0,6,1,Yes,No,25.5,n/a
56,Male,10,0,0,7,1,Yes,No,29.643,n/a
56,Male,10,0,0,8,3,n/a,Yes,34.084,n/a
56,Male,10,0,0,9,1,Yes,No,38.003,n/a
56,Male,10,0,0,10,1,Yes,No,42.362,n/a
56,Male,10,0,n/a,n/a,n/a,n/a,n/a,47.332,End!
56,Male,10,1,4,1,3,n/a,Yes,4.572,n/a
56,Male,10,1,4,2,4,n/a,Yes,8.804,n/a
56,Male,10,1,4,3,1,Yes,No,12.659,n/a
56,Male,10,1,4,4,1,Yes,No,17.002,n/a
56,Male,10,1,4,5,2,Yes,No,22.709,n/a
56,Male,10,1,4,6,4,n/a,Yes,27.281,n/a
56,Male,10,1,4,7,1,Yes,No,31.261,n/a
56,Male,10,1,4,8,2,Yes,No,37.42,n/a
56,Male,10,1,4,9,2,Yes,No,43.19,n/a
56,Male,10,1,4,10,4,n/a,Yes,47.744,n/a
56,Male,10,1,4,11,1,Yes,No,51.7,n/a
56,Male,10,1,4,12,1,Yes,No,55.906,n/a
56,Male,10,1,4,13,1,Yes,No,60.139,n/a
56,Male,10,1,4,14,2,Yes,No,65.933,n/a
56,Male,10,1,4,15,1,Yes,No,70.387,n/a
56,Male,10,1,4,16,4,n/a,Yes,74.747,n/a
56,Male,10,1,4,17,1,Yes,No,78.789,n/a
56,Male,10,1,4,18,2,Yes,No,84.462,n/a
56,Male,10,1,4,19,1,Yes,No,88.784,n/a
56,Male,10,1,4,20,1,Yes,No,93.106,n/a
56,Male,10,1,n/a,n/a,n/a,n/a,n/a,98.119,End!
56,Male,10,2,2,1,1,Yes,No,4.343,n/a
