Age,Gender,Participant ID,Test ID,PAM,# Box,State,Within Range?,Box Collision?,Timestamp,End!
22,Female,22,0,0,1,1,Yes,No,4.279,n/a
22,Female,22,0,0,2,1,Yes,No,8.551,n/a
22,Female,22,0,0,3,3,n/a,Yes,12.999,n/a
22,Female,22,0,0,4,1,Yes,No,16.964,n/a
22,Female,22,0,0,5,1,Yes,No,21.03,n/a
22,Female,22,0,0,6,1,Yes,No,25.365,n/a
22,Female,22,0,0,7,1,Yes,No,29.529,n/a
22,Female,22,0,0,8,1,Yes,No,33.744,n/a
22,Female,22,0,0,9,1,Yes,No,37.998,n/a
22,Female,22,0,0,10,3,n/a,Yes,42.531,n/a
22,Female,22,0,n/a,n/a,n/a,n/a,n/a,47.314,End!
22,Female,22,1,5,1,1,Yes,No,4.243,n/a
22,Female,22,1,5,2,3,n/a,Yes,8.747,n/a
22,Female,22,1,5,3,1,Yes,No,12.692,n/a
22,Female,22,1,5,4,3,n/a,Yes,17.146,n/a
22,Female,22,1,5,5,3,n/a,Yes,21.358,n/a
22,Female,22,1,5,6,1,Yes,No,25.156,n/a
22,Female,22,1,5,7,1,Yes,No,29.42,n/a
22,Female,22,1,5,8,2,Yes,No,33.661,n/a
22,Female,22,1,5,9,1,Yes,No,37.31,n/a
22,Female,22,1,5,10,1,Yes,No,41.473,n/a
22,Female,22,1,5,11,2,Yes,No,45.615,n/a
22,Female,22,1,5,12,1,Yes,No,49.31,n/a
22,Female,22,1,5,13,2,Yes,No,53.458,n/a
22,Female,22,1,5,14,2,Yes,No,57.046,n/a
22,Female,22,1,5,15,1,Yes,No,60.643,n/a
22,Female,22,1,5,16,1,Yes,No,64.665,n/a
22,Female,22,1,5,17,3,n/a,Yes,69.285,n/a
22,Female,22,1,5,18,3,n/a,Yes,73.483,n/a
22,Female,22,1,5,19,1,Yes,No,77.435,n/a
22,Female,22,1,5,20,2,Yes,No,81.749,n/a
22,Female,22,1,n/a,n/a,n/a,n/a,n/a,86.726,End!
22,Female,22,2,3,1,1,Yes,No,4.28,n/a
22,Female,22,2,3,2,1,Yes,No,8.548,n/a
22,Female,22,2,3,3,3,n/a,Yes,12.955,n/a
22,Female,22,2,3,4,1,Yes,No,16.867,n/a
22,Female,22,2,3,5,1,Yes,No,21.2,n/a
